City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp (°F),Wind Speed
Cape Town,0,ZA,1561489203,71,-33.93,18.42,59.0,11.41
Yarensk,3,RU,1561489809,69,62.17,49.09,46.13,2.95
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Rikitea,20,PF,1561489499,83,-23.12,-134.97,72.05,11.05
Bereda,0,ES,1561489813,64,43.27,-7.54,69.01,4.7
Vaini,46,IN,1561489546,89,15.34,74.49,78.89,4.23
Hilo,1,US,1561489561,61,19.71,-155.08,80.6,5.82
Leeton,0,AU,1561489817,100,-34.55,146.4,44.6,5.82
Gao,22,ML,1561489818,11,16.28,-0.04,107.69,10.27
Maragogi,90,BR,1561489819,74,-9.01,-35.22,79.25,9.42
Albany,75,US,1561489244,61,42.65,-73.75,82.4,4.7
Pacific Grove,1,US,1561489821,63,36.62,-121.92,80.01,10.29
Busselton,18,AU,1561489552,84,-33.64,115.35,55.0,25.99
Kapaa,75,US,1561489518,83,22.08,-159.32,80.6,8.05
Ushuaia,40,AR,1561489503,92,-54.81,-68.31,32.0,9.17
Srednekolymsk,21,RU,1561489826,43,67.46,153.71,68.99,2.75
Albany,75,US,1561489244,61,42.65,-73.75,82.4,4.7
Chuy,100,UY,1561489828,70,-33.69,-53.46,50.81,20.69
Tumaco,86,CO,1561489779,83,1.8,-78.82,79.79,13.11
Port Elizabeth,1,US,1561489513,51,39.31,-74.98,87.01,12.75
Busselton,18,AU,1561489552,84,-33.64,115.35,55.0,25.99
Qaanaaq,100,GL,1561489505,88,77.48,-69.36,34.61,3.06
San Patricio,100,PY,1561489834,91,-26.98,-56.83,54.23,13.89
Hanzhong,10,CN,1561489836,88,33.08,107.03,69.89,3.11
Muros,20,ES,1561489837,72,42.77,-9.06,70.0,8.05
Kedougou,0,SN,1561489838,39,12.56,-12.19,96.8,4.7
Atuona,5,PF,1561489503,76,-9.8,-139.03,81.23,22.21
